income,Daily_price,Size,Area
212,75,1.5,Queens
1960,325,1.5,Manhattan
4095,195,1.5,Manhattan
1218,58,1.5,Manhattan
833,250,1.5,Staten Island
1050,50,1.5,Staten Island
66,130,1.5,Manhattan
161,125,1.5,Staten Island
3969,189,1.5,Manhattan
433,130,1.5,Brooklyn
222,145,1.5,Manhattan
803,101,1.5,Manhattan
365,95,1.5,Manhattan
574,375,1.5,Manhattan
3213,153,1.5,Manhattan
800,92,1.5,Brooklyn
6300,300,1.5,Manhattan
3360,160,1.5,Brooklyn
784,72,1.5,Manhattan
158,155,1.5,Manhattan
3885,185,1.5,Brooklyn
887,73,1.5,Queens
4475,255,1.5,Manhattan
1785,85,1.5,Manhattan
2079,99,1.5,Brooklyn
1008,48,1.5,Brooklyn
204,200,1.5,Manhattan
742,485,1.5,Manhattan
357,350,1.5,Manhattan
2289,109,1.5,Manhattan
1804,167,1.5,Manhattan
4620,220,1.5,Manhattan
2016,210,1.5,Manhattan
767,55,1.5,Queens
128,50,1.5,Bronx
369,60,1.5,Brooklyn
1292,99,1.5,Manhattan
5491,279,1.5,Manhattan
647,130,1.5,Manhattan
174,290,1.5,Brooklyn
3224,350,1.5,Manhattan
192,50,1.5,Brooklyn
1995,95,1.5,Queens
150,45,1.5,Brooklyn
1785,85,1.5,Queens
160,40,1.5,Brooklyn
960,250,1.5,Manhattan
1047,62,1.5,Brooklyn
153,60,1.5,Brooklyn
400,65,1.5,Brooklyn
2625,125,1.5,Manhattan
342,300,1.5,Manhattan
3780,180,1.5,Manhattan
1260,60,1.5,Manhattan
3189,499,1.5,Manhattan
90,100,1.5,Brooklyn
369,60,1.5,Brooklyn
4992,1300,1.5,Manhattan
4200,200,1.5,Manhattan
1331,99,1.5,Manhattan
2310,110,1.5,Brooklyn
275,135,1.5,Brooklyn
66,110,1.5,Manhattan
107,105,1.5,Brooklyn
3465,165,1.5,Brooklyn
914,127,1.5,Brooklyn
5403,402,1.5,Brooklyn
1571,85,1.5,Manhattan
263,75,1.5,Brooklyn
576,75,1.5,Brooklyn
1197,57,1.5,Manhattan
12,30,1.5,Queens
25,64,1.5,Brooklyn
14136,800,1.5,Brooklyn
833,250,1.5,Brooklyn
108,200,1.5,Manhattan
2730,130,1.5,Manhattan
216,90,1.5,Brooklyn
1280,90,1.5,Manhattan
2037,97,1.5,Brooklyn
977,91,1.5,Brooklyn
2625,125,1.5,Brooklyn
1575,75,1.5,Brooklyn
546,170,1.5,Manhattan
5190,500,1.5,Manhattan
140,180,1.5,Brooklyn
446,175,1.5,Manhattan
3348,240,1.5,Manhattan
36,300,1.5,Manhattan
2310,110,1.5,Brooklyn
2415,115,1.5,Brooklyn
979,75,1.5,Manhattan
576,100,1.5,Brooklyn
1604,165,1.5,Manhattan
2304,300,1.5,Brooklyn
1882,140,1.5,Brooklyn
2520,120,1.5,Brooklyn
5775,275,1.5,Brooklyn
850,109,1.5,Manhattan
489,179,1.5,Manhattan
437,189,1.5,Brooklyn
3843,219,1.5,Manhattan
9450,450,1.5,Manhattan
321,249,1.5,Manhattan
41,65,1.5,Queens
5250,250,1.5,Brooklyn
746,139,1.5,Manhattan
2520,120,1.5,Brooklyn
19,70,1.5,Queens
1890,90,1.5,Manhattan
257,199,1.5,Manhattan
216,50,1.5,Brooklyn
2100,100,1.5,Brooklyn
2310,110,1.5,Manhattan
1945,157,1.5,Brooklyn
1200,199,1.5,Brooklyn
173,192,1.5,Queens
2191,199,1.5,Brooklyn
2093,150,1.5,Manhattan
2370,199,1.5,Brooklyn
2955,199,1.5,Brooklyn
710,199,1.5,Brooklyn
202,105,1.5,Brooklyn
1899,135,1.5,Brooklyn
1504,199,1.5,Brooklyn
274,125,1.5,Brooklyn
9,60,1.5,Brooklyn
2070,300,1.5,Manhattan
571,55,1.5,Queens
40,44,1.5,Brooklyn
162,55,1.5,Brooklyn
100,30,1.5,Brooklyn
1991,299,1.5,Brooklyn
22,35,1.5,Brooklyn
1119,55,1.5,Brooklyn
1575,75,1.5,Brooklyn
3990,190,1.5,Manhattan
5250,250,1.5,Manhattan
1850,95,1.5,Brooklyn
1058,140,1.5,Manhattan
441,50,1.5,Brooklyn
1575,75,1.5,Brooklyn
1260,60,1.5,Manhattan
275,150,1.5,Manhattan
5250,250,1.5,Manhattan
4305,205,1.5,Brooklyn
296,135,1.5,Brooklyn
1123,65,1.5,Brooklyn
393,59,1.5,Staten Island
356,75,1.5,Manhattan
207,85,1.5,Brooklyn
1373,109,1.5,Manhattan
795,55,1.5,Queens
1062,100,1.5,Brooklyn
2079,105,1.5,Manhattan
1765,89,1.5,Manhattan
1089,135,1.5,Brooklyn
1691,174,1.5,Brooklyn
740,89,1.5,Brooklyn
888,110,1.5,Manhattan
1034,130,1.5,Brooklyn
1638,78,1.5,Brooklyn
526,49,1.5,Brooklyn
597,79,1.5,Brooklyn
2268,135,1.5,Manhattan
3885,185,1.5,Brooklyn
1755,225,1.5,Brooklyn
625,245,1.5,Manhattan
381,135,1.5,Manhattan
6825,325,1.5,Brooklyn
1995,95,1.5,Brooklyn
1674,120,1.5,Manhattan
1445,195,1.5,Brooklyn
10479,499,1.5,Manhattan
1848,88,1.5,Brooklyn
552,160,1.5,Brooklyn
3278,219,1.5,Manhattan
726,218,1.5,Manhattan
997,159,1.5,Manhattan
551,180,1.5,Brooklyn
41,150,1.5,Manhattan
461,106,1.5,Manhattan
2153,299,1.5,Manhattan
569,165,1.5,Brooklyn
645,500,1.5,Brooklyn
480,250,1.5,Manhattan
900,87,1.5,Manhattan
505,79,1.5,Brooklyn
1575,75,1.5,Manhattan
4200,200,1.5,Brooklyn
