income,review_scores,Size,Area
2370,98,1.5,Brooklyn
2955,97,1.5,Brooklyn
710,97,1.5,Brooklyn
202,95,1.5,Brooklyn
1899,84,1.5,Brooklyn
1504,96,1.5,Brooklyn
274,94,1.5,Brooklyn
9,80,1.5,Brooklyn
2070,99,1.5,Manhattan
571,96,1.5,Queens
40,90,1.5,Brooklyn
162,90,1.5,Brooklyn
100,90,1.5,Brooklyn
1991,94,1.5,Brooklyn
22,100,1.5,Brooklyn
1119,95,1.5,Brooklyn
1575,,1.5,Brooklyn
3990,,1.5,Manhattan
5250,97,1.5,Manhattan
1850,90,1.5,Brooklyn
1058,98,1.5,Manhattan
441,94,1.5,Brooklyn
1575,97,1.5,Brooklyn
1260,100,1.5,Manhattan
275,90,1.5,Manhattan
5250,98,1.5,Manhattan
4305,96,1.5,Brooklyn
296,99,1.5,Brooklyn
1123,92,1.5,Brooklyn
393,87,1.5,Staten Island
356,83,1.5,Manhattan
207,99,1.5,Brooklyn
1373,84,1.5,Manhattan
795,93,1.5,Queens
1062,97,1.5,Brooklyn
2079,88,1.5,Manhattan
1765,95,1.5,Manhattan
1089,93,1.5,Brooklyn
1691,96,1.5,Brooklyn
740,92,1.5,Brooklyn
888,99,1.5,Manhattan
1034,96,1.5,Brooklyn
1638,91,1.5,Brooklyn
526,98,1.5,Brooklyn
597,97,1.5,Brooklyn
2268,100,1.5,Manhattan
3885,97,1.5,Brooklyn
1755,94,1.5,Brooklyn
625,96,1.5,Manhattan
381,96,1.5,Manhattan
6825,98,1.5,Brooklyn
1995,99,1.5,Brooklyn
1674,95,1.5,Manhattan
1445,98,1.5,Brooklyn
10479,98,1.5,Manhattan
1848,89,1.5,Brooklyn
552,95,1.5,Brooklyn
3278,96,1.5,Manhattan
726,95,1.5,Manhattan
997,93,1.5,Manhattan
551,92,1.5,Brooklyn
41,80,1.5,Manhattan
461,91,1.5,Manhattan
2153,96,1.5,Manhattan
569,95,1.5,Brooklyn
645,89,1.5,Brooklyn
480,94,1.5,Manhattan
900,94,1.5,Manhattan
505,97,1.5,Brooklyn
1575,95,1.5,Manhattan
4200,93,1.5,Brooklyn
338,96,1.5,Manhattan
670,83,1.5,Brooklyn
585,80,1.5,Brooklyn
806,80,1.5,Brooklyn
2625,97,1.5,Manhattan
2728,99,1.5,Manhattan
1057,96,1.5,Manhattan
532,82,1.5,Manhattan
265,70,1.5,Manhattan
893,95,1.5,Manhattan
1690,97,1.5,Manhattan
176,100,1.5,Manhattan
3360,,1.5,Manhattan
504,97,1.5,Brooklyn
102,89,1.5,Manhattan
863,100,1.5,Manhattan
3969,86,1.5,Manhattan
3360,,1.5,Brooklyn
256,91,1.5,Brooklyn
974,92,1.5,Brooklyn
113,97,1.5,Brooklyn
3220,98,1.5,Manhattan
118,89,1.5,Brooklyn
2643,88,1.5,Manhattan
1170,96,1.5,Manhattan
604,96,1.5,Brooklyn
349,99,1.5,Brooklyn
828,92,1.5,Manhattan
239,100,1.5,Queens
99,96,1.5,Manhattan
706,98,1.5,Brooklyn
276,84,1.5,Manhattan
34,,1.5,Brooklyn
108,100,1.5,Brooklyn
1974,92,1.5,Brooklyn
538,95,1.5,Brooklyn
5830,94,1.5,Manhattan
217,96,1.5,Brooklyn
1264,99,1.5,Brooklyn
1890,95,1.5,Brooklyn
256,96,1.5,Staten Island
426,87,1.5,Manhattan
567,94,1.5,Manhattan
210,100,1.5,Brooklyn
245,96,1.5,Manhattan
367,98,1.5,Manhattan
357,97,1.5,Manhattan
19,100,1.5,Brooklyn
2074,96,1.5,Bronx
117,100,1.5,Manhattan
224,96,1.5,Staten Island
1714,93,1.5,Manhattan
3908,97,1.5,Manhattan
1868,88,1.5,Manhattan
671,98,1.5,Manhattan
3045,91,1.5,Manhattan
1680,,1.5,Brooklyn
11,69,1.5,Brooklyn
614,95,1.5,Queens
2991,94,1.5,Brooklyn
945,95,1.5,Brooklyn
2050,92,1.5,Manhattan
925,99,1.5,Manhattan
831,98,1.5,Manhattan
46,100,1.5,Brooklyn
