Bookings,Daily_price,Size,Area
0.74,109,1.5,Manhattan
0.36,167,1.5,Manhattan
,220,1.5,Manhattan
1.5,210,1.5,Manhattan
2.18,55,1.5,Queens
0.4,50,1.5,Bronx
0.96,60,1.5,Brooklyn
2.04,99,1.5,Manhattan
0.16,279,1.5,Manhattan
0.78,130,1.5,Manhattan
0.02,290,1.5,Brooklyn
1.44,350,1.5,Manhattan
0.6,50,1.5,Brooklyn
5.48,95,1.5,Queens
0.52,45,1.5,Brooklyn
5.76,85,1.5,Queens
0.4,40,1.5,Brooklyn
0.6,250,1.5,Manhattan
2.64,62,1.5,Brooklyn
0.4,60,1.5,Brooklyn
0.96,65,1.5,Brooklyn
0.4,125,1.5,Manhattan
0.18,300,1.5,Manhattan
4.5,180,1.5,Manhattan
0.7,60,1.5,Manhattan
1,499,1.5,Manhattan
0.14,100,1.5,Brooklyn
0.96,60,1.5,Brooklyn
0.6,1300,1.5,Manhattan
,200,1.5,Manhattan
2.1,99,1.5,Manhattan
3.62,110,1.5,Brooklyn
0.32,135,1.5,Brooklyn
0.04,110,1.5,Manhattan
0.16,105,1.5,Brooklyn
4.72,165,1.5,Brooklyn
0.04,127,1.5,Brooklyn
2.1,402,1.5,Brooklyn
2.64,85,1.5,Manhattan
0.5,75,1.5,Brooklyn
1.2,75,1.5,Brooklyn
4.74,57,1.5,Manhattan
0.06,30,1.5,Queens
0.06,64,1.5,Brooklyn
2.76,800,1.5,Brooklyn
0.52,250,1.5,Brooklyn
0.02,200,1.5,Manhattan
4.86,130,1.5,Manhattan
0.08,90,1.5,Brooklyn
2.22,90,1.5,Manhattan
3.5,97,1.5,Brooklyn
1.68,91,1.5,Brooklyn
4.94,125,1.5,Brooklyn
,75,1.5,Brooklyn
0.5,170,1.5,Manhattan
1.62,500,1.5,Manhattan
0.12,180,1.5,Brooklyn
0.4,175,1.5,Manhattan
2.18,240,1.5,Manhattan
0.02,300,1.5,Manhattan
5.22,110,1.5,Brooklyn
,115,1.5,Brooklyn
2.04,75,1.5,Manhattan
0.9,100,1.5,Brooklyn
1.52,165,1.5,Manhattan
