Occupancy_rate,Daily_price,Size,Area
8.4,225,1.5,Manhattan
14,50,1.5,Brooklyn
5.1,160,1.5,Manhattan
6.8,180,1.5,Manhattan
11.9,100,1.5,Manhattan
0.9,70,1.5,Brooklyn
57.6,120,1.5,Bronx
2.6,150,1.5,Manhattan
7.7,97,1.5,Staten Island
47.6,120,1.5,Manhattan
52.1,250,1.5,Manhattan
33.3,187,1.5,Manhattan
22.6,99,1.5,Manhattan
70,145,1.5,Manhattan
70,80,1.5,Brooklyn
0.4,90,1.5,Brooklyn
27.3,75,1.5,Queens
62.7,159,1.5,Brooklyn
70,45,1.5,Brooklyn
65.7,104,1.5,Manhattan
13.7,225,1.5,Manhattan
27.7,100,1.5,Manhattan
