income,Occupancy_rate,Size,Area
3360,70,1.5,Manhattan
504,24,1.5,Brooklyn
102,3.4,1.5,Manhattan
863,21.3,1.5,Manhattan
3969,70,1.5,Manhattan
3360,70,1.5,Brooklyn
256,4.8,1.5,Brooklyn
974,22.4,1.5,Brooklyn
113,3,1.5,Brooklyn
3220,40.5,1.5,Manhattan
118,5.1,1.5,Brooklyn
2643,68.3,1.5,Manhattan
1170,19.6,1.5,Manhattan
604,21.9,1.5,Brooklyn
349,17.1,1.5,Brooklyn
828,24,1.5,Manhattan
239,6,1.5,Queens
99,3.4,1.5,Manhattan
706,29.4,1.5,Brooklyn
276,11.5,1.5,Manhattan
34,0.9,1.5,Brooklyn
108,3,1.5,Brooklyn
